mpid,formula
mp-1018700,Eu2O4
mp-1018702,Eu2Zn2Ge2
mp-1018705,Gd2Cu2Pb2
mp-1018706,Gd2S4
mp-1018707,Gd2Se4
mp-1018708,Gd2Tl2Zn2
mp-1018710,Hf2Ta1N3
mp-1018712,Hf1Ga4Co1
mp-1018713,Hf2Cu2Sn2
mp-1018714,Hf2Ga2Cu2
mp-1018716,Hf2N4
mp-1018717,Hf2Sb4
mp-1018718,Hf1Ta2N3
mp-1018719,Hf1Ta1N1O3
mp-1018720,Hf2V2Si2
mp-1018722,Hg3Se3
mp-1018723,Ho1Co3Cu2
mp-1018724,Ho2Cu2Sn2
mp-1018725,Ho2Fe2Si2
mp-1018726,Hf2V2Ge2
mp-1018729,Ho2Zn2In2
mp-1018730,In4Cu2
mp-1018731,Ho2S2I2
mp-1018733,Ir2N4
mp-1018735,Ba1Ti2As2O1
mp-1018736,K2Cd2As2
mp-1018737,K2Mg2P2
mp-1018739,K2Mn2Bi2
mp-1018742,La1Ni2Rh3
mp-1018743,La1Ni3Rh2
mp-1018744,La2Pb2Au2
mp-1018745,La2Sb2Pd2
mp-1018747,La2Sb2Te2
mp-1018751,La2S4
mp-1018752,La2Te2Cl2
mp-1018753,La2Tl2Cd2
mp-1018755,La2Tl2Zn2
mp-1018757,La2Zn2Ga2
mp-1018758,La2Zn2In2
mp-1018763,Li3Dy1Sb2
mp-1018768,Li3La1Bi2
mp-1018770,Li3Pr1Bi2
mp-1018779,Li3Pr1Sb2
mp-1018781,Li3Sm1Sb2
mp-1018782,Li3Y1Bi2
mp-1018783,Li2Be2B2
mp-1018784,Li1Ce1Cu2P2
mp-1018785,Li2Fe2As2
mp-1018786,Li2Mn2Sb2
mp-1018789,Li2O4
mp-1018792,Lu2S4
mp-1018793,Lu2Se4
mp-1018794,Mg4Ge2
mp-1018796,Mg4Si2
mp-1018797,Mg2Ag2Sb2
mp-1018798,Mg2Cu2Ge2
mp-1018799,Mg1Sc3Ru2
mp-10188,Fe9S12
mp-1018800,Mn2Cu2As2
mp-1018802,Mn2Ga2Ge2
mp-1018803,Mn2Co2Sb2
mp-1018804,Mn2S4
mp-1018806,Mo4Se4S4
mp-1018807,Mo2Se4
mp-1018808,Mg2Co2Ge2
mp-1018809,Mo2S4
mp-1018810,Na4Cl2
mp-1018811,Nb2Ge2Sb2
mp-1018812,Nb2Ge2As2
mp-1018813,Nd2Co2P2
mp-1018814,Nd2Sb2Te2
mp-1018815,Nd2Sb2Pd2
mp-1018817,Nd2Se4
mp-1018818,Nd2Te2Cl2
mp-1018819,Nd2Tl2Cd2
mp-1018821,Nd2Tl2Zn2
mp-1018822,Nd2Zn2In2
mp-1018823,Ni2P2Rh2
mp-1018825,Nd2Pb2Au2
mp-1018826,Nd2Ge2Au2
mp-1018828,Np2Se2O2
mp-1018850,Os2C4
mp-1018851,Os2N4
mp-1018852,Os2N4
mp-1018880,Pa2Sb4
mp-1018886,Pd2O4
mp-1018888,Pd2Cl4
mp-1018890,Pa1P2
mp-1018891,Pd2Cl4
mp-1018892,Pr2Co2Si2
mp-1018893,Pr2Cu2Sn2
mp-1018895,Pr2Fe2Si2
mp-1018896,Pr2Pb2Au2
mp-1018899,Pr2Sb2Pd2
mp-10189,Li1Ti1Te2
mp-1018900,Pr2Cu2Pb2
mp-1018936,Pr2Sb2Te2
mp-1018940,Pr2Se4
mp-1018941,Pr2Te2Cl2
mp-1018942,Pr2Tl2Cd2
mp-1018946,Pr2Zn2Ga2
mp-1018947,Pt2N4
mp-1018948,Re4N2
mp-1018949,Rb2Mn2Bi2
mp-1018952,Pr2Zn2In2
mp-1018954,Pu2Se4
mp-1019,Y8Ni16
mp-1019051,Re2C4
mp-1019054,Re2C4
mp-1019055,Re2N4
mp-1019077,Re2N4
mp-1019078,Re2N4
mp-1019080,Re2N4
mp-1019083,Re2N4
mp-1019086,C2N4
mp-1019087,Ca2Sn2Hg2
mp-1019089,K2Mg2As2
mp-1019091,La2Se4
mp-1019094,Pr2Ge2Au2
mp-1019097,Si2C4
mp-1019099,Sm2Co2P2
mp-10191,Lu16Mg8Se32
mp-1019100,Sm2Fe2Si2
mp-1019101,Sm2Ge2Au2
mp-1019102,Sm2Mn2Si2
